0.0	0.09788216560509554	6147	0.09788216560509554	6147	
0.5	0.054538216560509556	3425	0.054538216560509556	3425	
1.0	0.02839171974522293	1783	0.02839171974522293	1783	
1.5	0.012793367346938776	1003	0.012793367346938776	1003	
2.0	0.005230125523012552	1000	0.005230125523012552	1000	
2.5	0.0018968133535660092	1000	0.0018968133535660092	1000	
3.0	0.0006429942418426103	402	0.0006429942418426103	402	
3.5	0.0002015355086372361	126	0.0002015355086372361	126	
4.0	4.6385156749840054e-05	29	4.6385156749840054e-05	29	
4.5	1.2795905310300704e-05	8	1.2795905310300704e-05	8	
5.0	6.397952655150352e-06	4	6.397952655150352e-06	4	
5.5	1.599488163787588e-06	1	1.599488163787588e-06	1	
6.0	0.0	0	0.0	0	
