0.0	0.02756	27560	0.02749	27490	
0.5	0.018262	18262	0.018232	18232	
1.0	0.011411	11411	0.011381	11381	
1.5	0.006898	6898	0.006877	6877	
2.0	0.003833	3833	0.003805	3805	
2.5	0.002121	2121	0.002101	2101	
3.0	0.001026	1026	0.001022	1022	
3.5	0.0005292508417508418	1006	0.0005260942760942761	1000	
4.0	0.00026912333476579285	1002	0.00026858616244091106	1000	
4.5	0.00012582798073063027	1003	0.00012545162585307106	1000	
5.0	5.86e-05	586	5.85e-05	585	
5.5	2.89e-05	289	2.89e-05	289	
6.0	1.28e-05	128	1.28e-05	128	
