0.0	0.2368152866242038	14872	0.2368152866242038	14872	
0.5	0.1279140127388535	8033	0.1279140127388535	8033	
1.0	0.061656050955414016	3872	0.061656050955414016	3872	
1.5	0.02609872611464968	1639	0.02609872611464968	1639	
2.0	0.010234693877551021	1003	0.010234693877551021	1003	
2.5	0.003063035495716034	1001	0.003063035495716034	1001	
3.0	0.0010764555342290467	673	0.0010764555342290467	673	
3.5	0.0002655150351887396	166	0.0002655150351887396	166	
4.0	6.71785028790787e-05	42	6.71785028790787e-05	42	
4.5	1.7594369801663468e-05	11	1.7594369801663468e-05	11	
5.0	1.2795905310300704e-05	8	1.2795905310300704e-05	8	
5.5	6.397952655150352e-06	4	6.397952655150352e-06	4	
6.0	0.0	0	0.0	0	
