0.0	0.2708226837060703	26124	0.02608226837060703	26124	
0.5	0.18813099041533545	16840	0.016813099041533545	16840	
1.0	0.12253594249201277	10270	0.010253594249201277	10270	
1.5	0.07000399361022364	6010	0.006000399361022364	6010	
2.0	0.038048722044728433	3210	0.0032048722044728433	3210	
2.5	0.019553514376996805	1658	0.0016553514376996805	1658	
3.0	0.009151653944020356	1000	0.0007951653944020356	1000	
3.5	0.0044970838396111787	1000	0.00037970838396111787	1000	
4.0	0.0022494697442295697	1000	0.00019494697442295697	1000	
4.5	1.07e-03	986	9.86e-05	986	
5.0	5.56e-04	506	5.06e-05	506	
5.5	2.59e-04	279	2.79e-05	279	
6.0	1.16e-04	136	1.36e-05	136	
